"","Species","AVG_MXL","HdBd","PFiBd","PFlBl","CFdCPd"
"1","Abramis brama",4.36944785246702,0.417105608,0.427800624,0.18413182,1.44195578331843
"2","Alburnoides bipunctatus",2.81343071656004,0.451359456,0.268386674,0.204675647,1.46836819089843
"3","Alburnus alburnus",3.13549421592915,0.429576461,0.2766026,0.152191702,1.07919901048573
"4","Alosa chrysochloris",3.93182563272433,0.561015951,0.18814041,0.146598491,1.2728251870248
"5","Ambassis agassizii",2.19722457733622,0.598802445,0.307522142,0.230217237,1.33294034648507
"6","Ambassis marianus",2.58021682959233,0.567915826,0.338685045,0.117670423,1.29763840773735
"7","Ambloplites rupestris",3.78418963391826,0.607382193,0.342235628,0.196628382,1.19794837996813
"8","Ameiurus melas",4.08176578001524,0.570236413,0.389497283,0.157155275,1.16739193195688
"9","Ameiurus natalis",3.87120101090789,0.687800064,0.300934704,0.161264652,1.05964723805704
"10","Ameiurus nebulosus",3.89859322831642,0.490174198,0.347816005,0.153249389,1.04356125086828
"11","Amia calva",4.70048036579242,0.564385118,0.203431917,0.125053001,0.860675302080654
"12","Ammocrypta clara",2.09186406167839,0.570869837,0.425466729,0.14737824,1.07629435536039
"13","Amniataba percoides",3.04452243772342,0.405856357,0.312160659,0.195897189,1.28329106004751
"14","Anguilla anguilla",5.18552373807259,0.634091873,0.604546774,0.04466753,0
"15","Anguilla australis",4.70953020131233,0.451180832,0.573910584,0.037081167,0
"16","Anguilla reinhardtii",5.30330490805908,0.366791773,0.52447211,0.065195694,0
"17","Anguilla rostrata",4.72738781871234,0.393905601,0.577587199,0.037438892,0
"18","Aphredoderus sayanus",2.70805020110221,0.542793448,0.409644276,0.179561218,1.22517501204647
"19","Aplodinotus grunniens",4.56434819146784,0.42003019,0.410993707,0.223393187,1.31749144114458
"20","Arrhamphus sclerolepis",3.71357206670431,0.569009784,0.697411699,0.130548424,1.58412010444981
"21","Astyanax mexicanus",2.56494935746154,0.480657768,0.141085866,0.148993573,1.3816160167125
"22","Barbatula barbatula",2.96181348035037,0.673763644,0,0.144789579,1.01334895423419
"23","Barbus barbus",4.61512051684126,0.388291764,0.239724726,0.155661105,1.19532173268186
"24","Blicca bjoerkna",3.57422589154452,0.354092467,0.308156845,0.17880226,1.38616701626188
"25","Campostoma anomalum",3.13549421592915,0.642188579,0.22954228,0.153619026,1.23921609686463
"26","Carassius auratus",4.04742764243435,0.396870089,0.238048758,0.175272227,1.10398546261274
"27","Carassius carassius",4.04887637417495,0.381243561,0.267530394,0.185643105,0.970363302014336
"28","Carassius gibelio",3.79172932072839,0.422883904,0.238702184,0.194932843,1.1322509379102
"29","Carpiodes carpio",4.17438726989564,0.407628577,0.157679095,0.167496868,1.28293085815973
"30","Carpiodes cyprinus",4.20469261939097,0.489619365,0.092788153,0.191733432,1.32135264697761
"31","Carpiodes velifer",3.93182563272433,0.397542365,0.110083506,0.179895343,0.975359201395782
"32","Catostomus commersonii",4.17438726989564,0.65561422,0.171247829,0.186912394,1.26597312151001
"33","Chelon labrosus",4.33073334028633,0.392515837,0.617923579,0.168065876,1.39739375605095
"34","Chondrostoma nasus",3.90534072866422,0.418782789,0.276320498,0.15578047,1.19807308213958
"35","Cobitis taenia",2.72457950305342,0.802443882,0.161490015,0.114149461,1.0982790664891
"36","Coregonus albula",3.80109144472086,0.4445,0.267979167,0.150450051,1.36332228027804
"37","Cottus gobio",2.89037175789616,0.779231573,0.497334468,0.229832325,1.30813755680385
"38","Cottus poecilopus",2.77258872223978,0.730855531,0.467701429,0.25230542,1.28168195222707
"39","Craterocephalus marjoriae",2.37024374146786,0.610609859,0.647504627,0.157448505,0.998008308663341
"40","Craterocephalus stercusmuscarum",2.60268968544438,0.640040648,0.549330534,0.121343863,1.48532699421743
"41","Ctenopharyngodon idella",4.99495973871082,0.364372974,0.304157707,0.191398274,1.21073572116394
