"","Species","Tp_pref","Q_pref"
"1","Abramis brama",20.87,2.1770218700187
"2","Alburnoides bipunctatus",21.51,2.6775909936175
"3","Alburnus alburnus",21.53,2.30458309565672
"4","Alosa chrysochloris",28.23,4.73312355029855
"5","Ambassis agassizii",30.3,1.43508452528932
"6","Ambassis marianus",25.93,0.832909122935104
"7","Ambloplites rupestris",23.38,2.30558060197384
"8","Ameiurus melas",25.82,2.26592110862245
"9","Ameiurus natalis",27.55,2.23001440015921
"10","Ameiurus nebulosus",23.01,2.3664984187377
"11","Amia calva",27.69,2.79055142261395
"12","Ammocrypta clara",27.97,4.2524872633189
"13","Amniataba percoides",32.06,1.64480505627139
"14","Anguilla anguilla",20.3,1.83896107071235
"15","Anguilla australis",19.41,0.717839793150317
"16","Anguilla reinhardtii",25.2,0.867100487683383
"17","Anguilla rostrata",27.51,2.15292431843964
"18","Aphredoderus sayanus",28.24,2.25758772706331
"19","Aplodinotus grunniens",28.19,4.17392562489244
"20","Arrhamphus sclerolepis",28.65,1.7281094421516
"21","Astyanax mexicanus",29.32,2.45014265735166
"22","Barbatula barbatula",20.5,2.09186406167839
"23","Barbus barbus",21.23,2.72915916431245
"24","Blicca bjoerkna",20.95,2.33408376005342
"25","Campostoma anomalum",25.87,2.17247640764703
"26","Carassius auratus",24.47,2.15755932094379
"27","Carassius carassius",20.65,1.97823903617067
"28","Carassius gibelio",21.36,2.64119789411437
"29","Carpiodes carpio",28.94,3.22684399451738
"30","Carpiodes cyprinus",26.05,3.70770120835452
"31","Carpiodes velifer",27.63,3.70401434169821
"32","Catostomus commersonii",23.06,1.8961194845523
"33","Chelon labrosus",22.95,1.68639895357023
"34","Chondrostoma nasus",21.65,2.99822915375258
"35","Cobitis taenia",21.62,2.18041745901984
"36","Coregonus albula",17.32,0.871293365943419
"37","Cottus gobio",19.03,1.93730177451871
"38","Cottus poecilopus",15.98,1.26412672714568
"39","Craterocephalus marjoriae",26.95,0.908258560176891
"40","Craterocephalus stercusmuscarum",30.49,1.8484548129046
"41","Ctenopharyngodon idella",25.94,2.78006073707848
"42","Cycleptus elongatus",29.01,4.5569248733601
"43","Cyprinella lutrensis",28.81,2.45958884180371
"44","Cyprinella spiloptera",24.64,2.86505394991188
"45","Cyprinella venusta",29.4,2.61958321977988
"46","Cyprinus carpio",24.83,2.26592110862245
"47","Dicentrarchus labrax",21.47,1.47932922708708
"48","Dorosoma cepedianum",28.06,3.19867311755068
"49","Dorosoma petenense",28.86,3.12015985192904
"50","Esox americanus",27.49,2.04769284336526
"51","Esox lucius",19.78,1.97823903617067
"52","Esox masquinongy",24.2,2.61812549357422
"53","Etheostoma asprigene",29.11,3.63521492952824
"54","Etheostoma blennioides",24.16,2.19833507162025
"55","Etheostoma caeruleum",24.62,2.35517754311322
"56","Etheostoma exile",21.6,1.52822785700856
"57","Etheostoma flabellare",24.45,2.01356879752913
"58","Etheostoma nigrum",24.2,2.28645571106416
"59","Etheostoma zonale",24.56,2.3494686788929
"60","Fundulus diaphanus",22.29,2.2523438765573
"61","Fundulus notatus",28.86,2.58173083442354
"62","Fundulus zebrinus",27.95,1.9213246735827
"63","Gambusia affinis",28.62,2.34755845863678
"64","Gambusia holbrooki",27.3,1.66392609771817
"65","Gasterosteus aculeatus",19.75,1.95727390770563
"66","Glossamia aprion",31.47,1.67147330335355
"67","Gobio gobio",20.87,2.18041745901984
"68","Gobiomorphus australis",24.61,0.774727167552368
"69","Gymnocephalus cernua",20.24,2.25758772706331
"70","Hiodon alosoides",27.48,5.51701103178862
"71","Hiodon tergisus",25.3,5.11553570392163
"72","Hybognathus nuchalis",28.75,3.74714836223791
"73","Hybognathus placitus",29.12,2.59897910604785
"74","Hypentelium nigricans",24.56,2.09801792725277
"75","Hypophthalmichthys molitrix",26.69,4.33545899885755
"76","Hypophthalmichthys nobilis",27.89,5.45258232555947
"77","Ictalurus furcatus",29.29,3.24337329646859
"78","Ictalurus punctatus",27.89,2.7239235502585
"79","Ictiobus bubalus",29.03,4.17300169504538
"80","Ictiobus cyprinellus",28.29,4.22551901277291
"81","Ictiobus niger",27.79,4.42867164249693
"82","Labidesthes sicculus",28.04,2.73890266458497
"83","Leiopotherapon unicolor",31.79,1.16002091679675
"84","Lepisosteus oculatus",29.85,3.35445511911002
"85","Lepisosteus osseus",28.41,3.39383702725586
"86","Lepisosteus platostomus",28.86,4.24405683545043
"87","Lepomis cyanellus",27.21,2.11625551480255
"88","Lepomis gibbosus",22.84,2.31055326264322
"89","Lepomis gulosus",28.22,2.33891702224144
"90","Lepomis humilis",28.72,2.88424189752063
"91","Lepomis macrochirus",27.09,2.26072088889535
"92","Lepomis megalotis",28.56,2.46809953147162
"93","Lepomis microlophus",28.29,2.2935443483419
"94","Leucaspius delineatus",21.1,2.04640168760164
"95","Leuciscus aspius",21.05,3.50885525636867
"96","Leuciscus idus",19.87,2.03861954715958
"97","Leuciscus leuciscus",20.48,2.37024374146786
"98","Lota lota",17.67,2.02287119019144
"99","Lucania parva",29.07,1.86872051036418
"100","Luciobarbus graellsii",23.86,1.56444054650336
"101","Luxilus chrysocephalus",25.45,2.30258509299405
"102","Luxilus cornutus",22.75,2.02814824729229
"103","Macquaria ambigua",29.22,2.40964416528745
"104","Macquaria novemaculeata",24.23,1.22082992139236
"105","Macrhybopsis aestivalis",29.27,3.66637818876742
"106","Macrhybopsis storeriana",28.07,4.96305439846681
"107","Menidia beryllina",30.11,2.77321352700862
"108","Micropterus dolomieu",23.92,2.37954613413017
"109","Micropterus punctulatus",27.86,2.53131302260216
"110","Micropterus salmoides",26.18,2.14006616349627
"111","Minytrema melanops",27.85,2.66444656362008
"112","Misgurnus anguillicaudatus",24.95,3.13505933877509
"113","Mogurnda adspersa",27.68,1.16002091679675
"114","Morone americana",24.53,3.59043938130068
"115","Morone chrysops",28.05,3.5266545990191
"116","Morone mississippiensis",27.64,3.44553319548221
"117","Morone saxatilis",28.3,3.30725293548561
"118","Moxostoma anisurum",23.94,3.30321697330195
"119","Moxostoma breviceps",24.3,4.23236586011947
"120","Moxostoma carinatum",25.5,3.36141651165031
"121","Moxostoma duquesnii",25.5,2.41054223449914
"122","Moxostoma erythrurum",25.46,2.41323161308111
"123","Moxostoma macrolepidotum",25.42,2.95021175825218
"124","Mugil cephalus",27.72,1.8229350866965
"125","Nannoperca oxleyana",26.16,0.708035793053696
"126","Nematalosa erebi",31.58,1.88555334851442
"127","Neogobius melanostomus",22.2,5.71686321419473
"128","Nocomis biguttatus",24.7,1.87180217690159
"129","Nocomis micropogon",22.96,2.03208784529637
"130","Notemigonus crysoleucas",26.83,2.2554934854602
"131","Notropis atherinoides",26.13,3.74028524217384
"132","Notropis blennius",27.21,5.66960502285461
"133","Notropis dorsalis",26.03,2.23323501485925
"134","Notropis girardi",30.12,3.05870707271538
"135","Notropis hudsonius",23.29,3.15188095604392
"136","Notropis photogenis",22.92,2.1701959049483
"137","Notropis shumardi",30.2,5.25801606977451
"138","Notropis simus",29.1,2.23323501485925
"139","Notropis stramineus",26.15,2.31154483436552
"140","Notropis texanus",28.69,2.51041194019636
"141","Notropis volucellus",25.22,2.76506045581899
"142","Noturus flavus",25.28,2.32140684723463
"143","Noturus gyrinus",27.62,2.40423874672055
"144","Noturus nocturnus",29.09,2.7324175575505
"145","Oncorhynchus mykiss",20.88,1.69744878975681
"146","Opsopoeodus emiliae",29.08,2.89203703721523
"147","Oreochromis mossambicus",26.67,2.4706386779903
"148","Oxyeleotris lineolata",31.66,2.10900034392138
"149","Parachondrostoma miegii",23.62,1.46787434811231
"150","Parachondrostoma toxostoma",23.16,2.55412171880947
"151","Perca flavescens",22.55,2.36743606531366
"152","Perca fluviatilis",19.77,1.71199450075919
"153","Percina caprodes",24.92,2.79545039138304
"154","Percina copelandi",26.64,3.13200989184654
"155","Percina macrolepida",30.51,2.98061863574394
"156","Percina maculata",24.53,2.17247640764703
"157","Percina phoxocephala",27.34,3.10368941505908
"158","Percina sciera",28.89,2.78562833574758
"159","Percina shumardi",27.32,4.92202263573965
"160","Percopsis omiscomaycus",21,4.92703627021994
"161","Phenacobius mirabilis",27.69,2.59450815970308
"162","Phoxinus phoxinus",18.24,1.88555334851442
"163","Pimephales notatus",24.99,2.36837283353205
"164","Pimephales promelas",25.4,1.87946504964716
"165","Pimephales vigilax",29.49,3.04404613383254
"166","Platichthys flesus",19.27,1.69009581545155
"167","Poecilia reticulata",25.82,2.51122395810537
"168","Polyodon spathula",28.67,4.99376037687141
"169","Pomoxis annularis",27.82,2.68307421503203
"170","Pomoxis nigromaculatus",26.2,2.66305283517147
"171","Porochilus rendahli",31.47,1.79342474854712
"172","Pseudomugil signifer",27.07,1.04027671165515
"173","Pseudorasbora parva",22.55,3.00766084441926
"174","Pungitius pungitius",19.74,2.0515563381903
"175","Pylodictis olivaris",28.11,3.05447276857659
"176","Redigobius bikolanus",27.76,2.27006190128849
"177","Retropinna semoni",25.92,1.3244189574018
"178","Rhadinocentrus ornatus",25.7,0.832909122935104
"179","Rhodeus amarus",21.67,2.92423627184892
"180","Rhodeus sericeus",22.43,3.19581188526965
"181","Rutilus rutilus",19.91,1.82937633279936
"182","Salaria fluviatilis",25.03,1.98513086220859
"183","Salmo salar",17.25,1.80664808172181
"184","Salmo trutta",19.17,1.56234630490025
"185","Salvelinus fontinalis",18.87,1.32175583998232
"186","Sander canadensis",25.28,5.28730697402798
"187","Sander lucioperca",21.07,2.2170272046324
"188","Sander vitreus",24.18,2.88032142204266
"189","Sarmarutilus rubilio",25.52,1.78674692740451
"190","Scaphirhynchus platorynchus",28.37,5.96267919567623
"191","Semotilus atromaculatus",24.79,1.92716410623426
"192","Silurus glanis",21.93,3.17220341666977
"193","Squalius cephalus",21.08,2.29051251175978
"194","Tandanus tandanus",27.08,1.49290409617815
