"","Species","EdHd","MoBd","JlHd","EhBd","BlBd"
"1","Abramis brama",0.397435897,0.582905087,0.17708350294482,0.636374818,1.27736724073785
"2","Alburnoides bipunctatus",0.623262053,0.488984023,0.457667534043698,0.525739563,1.50691708747989
"3","Alburnus alburnus",0.540985824,0.559971056,0.365406827439786,0.559971056,1.65889963296384
"4","Alosa chrysochloris",0.39763413,0.642865555,0.552499698810506,0.652789513,1.56748552008823
"5","Ambassis agassizii",0.496479313,0.604274606,0.441817871596894,0.510690673,1.32395171687897
"6","Ambassis marianus",0.527202703,0.499904068,0.313971958234069,0.430526243,1.31492215841091
"7","Ambloplites rupestris",0.385614211,0.417820293,0.403929445581817,0.524442688,1.25688774873804
"8","Ameiurus melas",0.210539107,0.404241848,0.28261198500267,0.48507337,1.62953248338509
"9","Ameiurus natalis",0.21082667,0.576156738,0.374489904977642,0.685748816,1.83967859574161
"10","Ameiurus nebulosus",0.268012891,0.345555201,0.408053679531079,0.463754674,1.60334711331914
"11","Amia calva",0.239979202,0.426656985,0.684493928935692,0.566364057,1.76401148631478
"12","Ammocrypta clara",0.590915319,0.157762307,0.506802744426748,0.425466729,2.10212123189575
"13","Amniataba percoides",0.518725926,0.276024412,0.328493400195146,0.43855936,1.28039088614188
"14","Anguilla anguilla",0.249665422,0.720516313,0.332853263172113,0.821233167,2.84602172424168
"15","Anguilla australis",0.311512112,0.500616174,0.318197249502664,0.573910584,2.55873728086719
"16","Anguilla reinhardtii",0.292541908,0.386335896,0.466002457096829,0.487382522,2.20001608544944
"17","Anguilla rostrata",0.31401802,0.152306862,0.724749823802753,0.32608484,2.86406304431223
"18","Aphredoderus sayanus",0.321428571,0.572288456,0.25304903442587,0.581351168,1.43244554409665
"19","Aplodinotus grunniens",0.381944444,0.221978663,0.435336249269095,0.437381228,1.32744049195456
"20","Arrhamphus sclerolepis",0.634146341,0.543557005,0.422985522024298,0.517951565,2.02674848281578
"21","Astyanax mexicanus",0.440611385,0.516996332,0.232824416953997,0.493886355,1.33595914420846
"22","Barbatula barbatula",0.30066,0,NA,0.489219782,2.04435322970333
"23","Barbus barbus",0.23787234,0,0.261316252417733,0.371264757,1.6230197398304
"24","Blicca bjoerkna",0.503950374,0.36573788,0.286138013756453,0.459238245,1.24870199216734
"25","Campostoma anomalum",0.2304875,0.204529035,0.391433794695187,0.540899385,1.62331678279749
"26","Carassius auratus",0.27027027,0.327172908,0.227114036893689,0.42197838,1.29362942995838
"27","Carassius carassius",0.324293648,0.459792912,0.245740892502092,0.532474758,1.12531655003157
"28","Carassius gibelio",0.45980479,0.46399493,0.365421046336415,0.516476304,1.23498150893144
"29","Carpiodes carpio",0.324786325,0.144056636,0.325076661562721,0.383156927,1.46733888818937
"30","Carpiodes cyprinus",0.345323741,0.152401953,0.211868718191046,0.438339662,1.37596268847268
"31","Carpiodes velifer",0.38966268,0.315598876,0.36183260252133,0.417264842,1.24014860055589
"32","Catostomus commersonii",0.308510638,0.075563026,NA,0.500010462,1.70070161172237
"33","Chelon labrosus",0.421724147,0.495619266,0.195343757030674,0.534372112,1.59303473265915
"34","Chondrostoma nasus",0.363636364,0.321312998,0.272979056162739,0.468442813,1.60128648483581
"35","Cobitis taenia",0.286353167,0,NA,0.618919452,2.04770847137217
"36","Coregonus albula",0.59387889,0.552868056,0.500659765482454,0.552868056,1.70100118242189
"37","Cottus gobio",0.402236592,0.5019123,0.398932925783497,0.702836958,1.94405503324868
"38","Cottus poecilopus",0.329981551,0.433467825,0.625252189574439,0.680627033,1.77833032894475
"39","Craterocephalus marjoriae",0.610774049,0.323849984,0.405307004943851,0.454902979,1.56924351988885
"40","Craterocephalus stercusmuscarum",0.616854227,0.43639795,0.325154837198333,0.374733386,1.82602729571693
"41","Ctenopharyngodon idella",0.332973401,0.498654092,0.404377591643108,0.519795173,1.61381314393456
"42","Cycleptus elongatus",0.274193548,0,0.19086026719216,0.314704258,1.65795983834515
"43","Cyprinella lutrensis",0.509870558,0.32721418,0.365213527259982,0.431196217,1.49948284418831
"44","Cyprinella spiloptera",0.403492845,0.553650553,0.352413412498591,0.553650553,1.54691811582035
"45","Cyprinella venusta",0.490818503,0.477607597,0.363949956743534,0.52538652,1.70589018652766
"46","Cyprinus carpio",0.182045455,0.307949315,0.297265549141,0.510936185,1.499876423476
"47","Dicentrarchus labrax",0.4338853,0.468574271,0.536137037444837,0.572333247,1.65952163407339
"48","Dorosoma cepedianum",0.378720949,0.444745653,0.284726348851284,0.478791768,1.32968308710106
"49","Dorosoma petenense",0.416666667,0.521677715,0.198922956965698,0.540722766,1.38261849087935
"50","Esox americanus",0.372370968,0.640558211,0.844621470907075,0.744244822,2.00824021245145
"51","Esox lucius",0.279515059,0.485175825,0.870242317132363,0.620001726,2.05096252644342
"52","Esox masquinongy",0.294387285,0.446873451,0.839036566965451,0.566998037,2.02799550260109
"53","Etheostoma asprigene",0.514634511,0.484007041,0.356473326015205,0.59948383,1.69089227881769
"54","Etheostoma blennioides",0.397856401,0.166635401,0.291270366816251,0.594983726,1.92285366177096
"55","Etheostoma caeruleum",0.44752457,0.422691676,0.386369008002858,0.603726159,1.5911370745994
"56","Etheostoma exile",0.507950352,0.375217039,0.351455037501055,0.573609863,1.8579075780341
"57","Etheostoma flabellare",0.3877,0.374191108,0.318453731118535,0.506646762,1.62662631385284
"58","Etheostoma nigrum",0.435857143,0.381173652,0.355852383228411,0.603186296,1.78554326309017
"59","Etheostoma zonale",0.34132,0.411331402,0.310425225103701,0.629249415,1.65911204502639
"60","Fundulus diaphanus",0.538680769,0.479214184,0.158714972719402,0.58715416,1.73865159685765
"61","Fundulus notatus",0.563897857,0.681734649,0.251870978156066,0.608912781,1.60163364581289
"62","Fundulus zebrinus",0.445132448,0.558563407,0.169939818463814,0.659712906,1.6626946724009
"63","Gambusia affinis",0.580510957,0.635737221,0.279256140781555,0.544961563,1.64549284980301
